ID,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_1,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__unclassified_Prevotellaceae, s__unclassified_Prevotellaceae
ASV_2,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_3,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Rhodocyclaceae, g__Propionivibrio, s__Propionibacter_sp.
ASV_4,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__Prevotella_intermedia
ASV_5,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__unclassified_Prevotella_7
ASV_7,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales, f__Leptotrichiaceae, g__Leptotrichia, s__unclassified_Leptotrichia
ASV_8,d__Bacteria, p__unclassified_Bacteria, c__unclassified_Bacteria, o__unclassified_Bacteria, f__unclassified_Bacteria, g__unclassified_Bacteria, s__unclassified_Bacteria
ASV_9,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__unclassified_Pseudomonas
ASV_10,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__Aggregatibacter, s__Azospirillum_sp.
ASV_12,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__Aggregatibacter, s__Azospirillum_sp.
ASV_13,d__Bacteria, p__Campylobacterota, c__Campylobacteria, o__Campylobacterales, f__Campylobacteraceae, g__Campylobacter, s__unclassified_Campylobacter
ASV_16,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__unclassified_Actinomycetaceae, s__unclassified_Actinomycetaceae
ASV_17,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Micrococcales, f__Micrococcaceae, g__Rothia, s__Actinomyces_sp.
ASV_19,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_21,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__Coriobacteriales, f__Atopobiaceae, g__Atopobium, s__unclassified_Atopobium
ASV_22,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Propionibacteriales, f__Propionibacteriaceae, g__Aestuariimicrobium, s__uncultured_Propionibacteriaceae
ASV_23,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__unclassified_Porphyromonas
ASV_24,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_25,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__unclassified_Pasteurellaceae, s__unclassified_Pasteurellaceae
ASV_26,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__uncultured_bacterium
ASV_27,d__Bacteria, p__Firmicutes, c__Clostridia, o__Peptostreptococcales-Tissierellales, f__Peptostreptococcaceae, g__Filifactor, s__Filifactor_alocis
ASV_28,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_29,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__P5D1-392, g__P5D1-392, s__Granulicatella_sp.
ASV_30,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Selenomonadaceae, g__Selenomonas, s__uncultured_Selenomonas
ASV_31,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__unclassified_Fusobacterium
ASV_33,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Acidovorax, s__unclassified_Acidovorax
ASV_34,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_35,d__Bacteria, p__Firmicutes, c__unclassified_Firmicutes, o__unclassified_Firmicutes, f__unclassified_Firmicutes, g__unclassified_Firmicutes, s__unclassified_Firmicutes
ASV_36,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales, f__Leptotrichiaceae, g__Leptotrichia, s__unclassified_Leptotrichia
ASV_37,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_38,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Veillonellaceae, g__Veillonella, s__unclassified_Veillonella
ASV_39,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_40,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_41,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__Porphyromonas_pasteri
ASV_42,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Selenomonadaceae, g__Selenomonas, s__Selenomonas_genomosp.
ASV_43,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Erysipelotrichaceae_UCG-006, s__uncultured_Erysipelotrichaceae
ASV_44,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__Haemophilus, s__unclassified_Haemophilus
ASV_45,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__unclassified_Prevotella_7
ASV_46,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_47,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Stomatobaculum, s__Stomatobaculum_longum
ASV_50,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Carnobacteriaceae, g__Granulicatella, s__unclassified_Granulicatella
ASV_51,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__Porphyromonas_pasteri
ASV_52,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__Streptococcus_constellatus
ASV_53,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_54,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__Prevotella_sp.
ASV_55,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Carnobacteriaceae, g__Granulicatella, s__unclassified_Granulicatella
ASV_56,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__uncultured_bacterium
ASV_57,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__uncultured_bacterium
ASV_58,d__Bacteria, p__Campylobacterota, c__Campylobacteria, o__Campylobacterales, f__Campylobacteraceae, g__Campylobacter, s__unclassified_Campylobacter
ASV_59,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__Prevotella_sp.
ASV_60,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Actinomyces, s__unclassified_Actinomyces
ASV_61,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Capnocytophaga, s__uncultured_Capnocytophaga
ASV_62,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__P5D1-392, g__P5D1-392, s__Streptococcus_sp.
ASV_64,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_65,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Actinomyces, s__unclassified_Actinomyces
ASV_66,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_67,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_69,d__Bacteria, p__Campylobacterota, c__Campylobacteria, o__Campylobacterales, f__Campylobacteraceae, g__Campylobacter, s__Campylobacter_pinnipediorum
ASV_70,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__P5D1-392, g__P5D1-392, s__Streptococcus_sp.
ASV_72,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Tannerella, s__unclassified_Tannerella
ASV_73,d__Bacteria, p__Firmicutes, c__Clostridia, o__Peptostreptococcales-Tissierellales, f__Peptostreptococcaceae, g__Peptostreptococcus, s__unclassified_Peptostreptococcus
ASV_74,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__Aggregatibacter, s__unclassified_Aggregatibacter
ASV_75,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Actinomyces, s__Mycobacterium_tuberculosis
ASV_76,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_77,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__Coriobacteriales, f__Atopobiaceae, g__Olsenella, s__Olsenella_profusa
ASV_78,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Veillonellaceae, g__unclassified_Veillonellaceae, s__unclassified_Veillonellaceae
ASV_79,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__Prevotella_nanceiensis
ASV_80,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__uncultured_bacterium
ASV_81,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__unclassified_Burkholderiales, g__unclassified_Burkholderiales, s__unclassified_Burkholderiales
ASV_82,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__P5D1-392, g__P5D1-392, s__Streptococcus_sp.
ASV_83,d__Bacteria, p__unclassified_Bacteria, c__unclassified_Bacteria, o__unclassified_Bacteria, f__unclassified_Bacteria, g__unclassified_Bacteria, s__unclassified_Bacteria
ASV_85,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__Prevotella_denticola
ASV_86,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales, f__Leptotrichiaceae, g__Leptotrichia, s__uncultured_organism
ASV_88,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__Aggregatibacter, s__Azospirillum_sp.
ASV_90,d__Bacteria, p__Firmicutes, c__Clostridia, o__Peptostreptococcales-Tissierellales, f__Peptostreptococcaceae, g__Filifactor, s__Filifactor_alocis
ASV_91,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_92,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_93,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__Prevotella_buccae
ASV_94,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__Prevotella_nanceiensis
ASV_95,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Actinomyces, s__Actinomyces_graevenitzii
ASV_96,d__Bacteria, p__Firmicutes, c__Clostridia, o__Peptostreptococcales-Tissierellales, f__Anaerovoracaceae, g__Amnipila, s__unclassified_Amnipila
ASV_97,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__Haemophilus, s__uncultured_bacterium
ASV_98,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Veillonellaceae, g__Veillonella, s__unclassified_Veillonella
ASV_100,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Selenomonadaceae, g__Selenomonas, s__Selenomonas_sp.
ASV_101,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Alloprevotella, s__uncultured_Prevotellaceae
ASV_103,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__Porphyromonas_pasteri
ASV_104,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Eikenella, s__uncultured_bacterium
ASV_105,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Selenomonadaceae, g__Centipeda, s__Centipeda_periodontii
ASV_107,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Alloprevotella, s__uncultured_Bacteroidetes
ASV_108,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__unclassified_Pasteurellaceae, s__unclassified_Pasteurellaceae
ASV_110,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Micrococcales, f__Micrococcaceae, g__Rothia, s__unclassified_Rothia
ASV_111,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__unclassified_Actinobacteria, f__unclassified_Actinobacteria, g__unclassified_Actinobacteria, s__unclassified_Actinobacteria
ASV_112,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Yersiniaceae, g__unclassified_Yersiniaceae, s__unclassified_Yersiniaceae
ASV_113,d__Bacteria, p__unclassified_Bacteria, c__unclassified_Bacteria, o__unclassified_Bacteria, f__unclassified_Bacteria, g__unclassified_Bacteria, s__unclassified_Bacteria
ASV_114,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_116,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__unclassified_Comamonadaceae, s__unclassified_Comamonadaceae
ASV_119,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__unclassified_Pasteurellaceae, s__unclassified_Pasteurellaceae
ASV_120,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__unclassified_Lactobacillales, g__unclassified_Lactobacillales, s__unclassified_Lactobacillales
ASV_121,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__unclassified_Prevotella_7
ASV_122,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_123,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Actinomyces, s__unclassified_Actinomyces
ASV_124,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__Lentimicrobiaceae, g__Lentimicrobium, s__unidentified
ASV_125,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__unclassified_Pasteurellaceae, s__unclassified_Pasteurellaceae
ASV_127,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__unclassified_Pasteurellaceae, s__unclassified_Pasteurellaceae
ASV_128,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__unclassified_Pasteurellaceae, s__unclassified_Pasteurellaceae
ASV_129,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Solobacterium, s__uncultured_organism
ASV_130,d__Bacteria, p__Firmicutes, c__Bacilli, o__Staphylococcales, f__Gemellaceae, g__Gemella, s__unclassified_Gemella
ASV_131,d__Bacteria, p__unclassified_Bacteria, c__unclassified_Bacteria, o__unclassified_Bacteria, f__unclassified_Bacteria, g__unclassified_Bacteria, s__unclassified_Bacteria
ASV_132,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Veillonellaceae, g__Veillonella, s__unclassified_Veillonella
ASV_134,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_135,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__unclassified_Neisseriaceae, s__unclassified_Neisseriaceae
ASV_136,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Alloprevotella, s__uncultured_Prevotellaceae
ASV_137,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__unclassified_Prevotella
ASV_138,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__unclassified_Porphyromonas
ASV_139,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__Aggregatibacter, s__unclassified_Aggregatibacter
ASV_140,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Capnocytophaga, s__unclassified_Capnocytophaga
ASV_142,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__unclassified_Porphyromonas
ASV_143,d__Bacteria, p__unclassified_Bacteria, c__unclassified_Bacteria, o__unclassified_Bacteria, f__unclassified_Bacteria, g__unclassified_Bacteria, s__unclassified_Bacteria
ASV_144,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_145,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_146,d__Bacteria, p__Spirochaetota, c__Spirochaetia, o__Spirochaetales, f__Spirochaetaceae, g__Treponema, s__uncultured_bacterium
ASV_147,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_148,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Capnocytophaga, s__Capnocytophaga_granulosa
ASV_149,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Eikenella, s__Eikenella_corrodens
ASV_150,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__uncultured_bacterium
ASV_151,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__unclassified_Pasteurellaceae, s__unclassified_Pasteurellaceae
ASV_152,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Lachnoanaerobaculum, s__Lachnospiraceae_bacterium
ASV_155,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__Clostridiales_bacterium
ASV_158,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__P5D1-392, g__P5D1-392, s__Streptococcus_sp.
ASV_159,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__unclassified_Lactobacillales, g__unclassified_Lactobacillales, s__unclassified_Lactobacillales
ASV_160,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_161,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Veillonellaceae, g__Dialister, s__unclassified_Dialister
ASV_162,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__Streptococcus_vestibularis
ASV_163,d__Bacteria, p__unclassified_Bacteria, c__unclassified_Bacteria, o__unclassified_Bacteria, f__unclassified_Bacteria, g__unclassified_Bacteria, s__unclassified_Bacteria
ASV_164,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__unclassified_Actinobacteria, f__unclassified_Actinobacteria, g__unclassified_Actinobacteria, s__unclassified_Actinobacteria
ASV_165,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__Prevotella_histicola
ASV_166,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__uncultured_bacterium
ASV_167,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Actinomyces, s__Actinomyces_massiliensis
ASV_168,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Howardella, s__Catonella_sp.
ASV_169,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__unclassified_Prevotella_7
ASV_170,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae, g__unclassified_Pasteurellaceae, s__unclassified_Pasteurellaceae
ASV_171,d__Bacteria, p__Synergistota, c__Synergistia, o__Synergistales, f__Synergistaceae, g__uncultured, s__unclassified_uncultured
ASV_172,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__unidentified
ASV_175,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Alloprevotella, s__uncultured_Alloprevotella
ASV_176,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__Prevotella_histicola
ASV_177,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Veillonellaceae, g__Veillonella, s__unclassified_Veillonella
ASV_178,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__Prevotella_aurantiaca
ASV_179,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_180,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_181,d__Bacteria, p__Firmicutes, c__Bacilli, o__Staphylococcales, f__Gemellaceae, g__Gemella, s__unclassified_Gemella
ASV_182,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Actinomyces, s__unclassified_Actinomyces
ASV_183,d__Bacteria, p__Campylobacterota, c__Campylobacteria, o__Campylobacterales, f__Campylobacteraceae, g__Campylobacter, s__unclassified_Campylobacter
ASV_184,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__unclassified_Oxalobacteraceae, s__unclassified_Oxalobacteraceae
ASV_185,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__Prevotella_sp.
ASV_186,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__unclassified_Prevotella_7
ASV_187,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__unclassified_Gammaproteobacteria, f__unclassified_Gammaproteobacteria, g__unclassified_Gammaproteobacteria, s__unclassified_Gammaproteobacteria
ASV_190,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__unidentified
ASV_191,d__Bacteria, p__Patescibacteria, c__Saccharimonadia, o__Saccharimonadales, f__Saccharimonadaceae, g__TM7x, s__Candidatus_Saccharibacteria
ASV_192,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__uncultured_beta
ASV_193,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__unclassified_Streptococcus
ASV_194,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__uncultured_bacterium
ASV_195,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__uncultured_organism
ASV_196,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_197,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cardiobacteriales, f__Cardiobacteriaceae, g__Cardiobacterium, s__unclassified_Cardiobacterium
ASV_198,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae, g__Actinomyces, s__Schaalia_odontolytica
ASV_199,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_201,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales, f__Leptotrichiaceae, g__Leptotrichia, s__Leptotrichia_sp.
ASV_202,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Veillonellaceae, g__Veillonella, s__unclassified_Veillonella
ASV_203,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Neisseriaceae, g__Neisseria, s__unclassified_Neisseria
ASV_204,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Porphyromonas, s__uncultured_bacterium
ASV_206,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Capnocytophaga, s__Capnocytophaga_leadbetteri
