taxonomy,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100,Sample_101,Sample_102,Sample_103,Sample_104,Sample_105,Sample_106,Sample_107,Sample_108,Sample_109,Sample_110,Sample_111,Sample_112,Sample_113,Sample_114,Sample_115,Sample_116,Sample_117,Sample_118,Sample_119,Sample_120,Sample_121,Sample_122,Sample_123,Sample_124,Sample_125,Sample_126,Sample_127,Sample_128,Sample_129,Sample_130,Sample_131,Sample_132,Sample_133,Sample_134,Sample_135,Sample_136,Sample_137,Sample_138,Sample_139,Sample_140,Sample_141,Sample_142,Sample_143,Sample_144,Sample_145,Sample_146,Sample_147,Sample_148,Sample_149,Sample_150
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales;  f__Bifidobacteriaceae;  g__Parascardovia,0,0,0,0,0,0,0,3.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001779359,0,0,0,0,0.000134171,4.31E-05,0,0,0,0,0,0,0,0,0.000170628,0.000251313,0,0,0,0.000140548,0,0,8.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000166288,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80E-05,0,0,0,0,0,0,0,0,0,3.80E-05,5.09E-05,0,0,0,0,0,1.70E-05,0,0,0,0,0,0,0,0,0,3.39E-05,0,0,0,4.69E-05,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales;  f__Bifidobacteriaceae;  g__Scardovia,0,0,0,0,0.000150305,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,0.002091594,0,0.003963119,7.34E-05,0,7.56E-05,0,0,0,0,0.000136503,0,0,0,0,0,0.000162539,0.000268129,0.000125657,0,0,0,0.000105411,0,5.08E-05,0,0,0,0,2.53E-05,0,0,0.000144085,4.15E-05,0,0,0,0,0,0.00020579,0,0,2.42E-05,0,0,0,6.29E-05,0,0,5.95E-05,0.00010364,0.000127664,0,5.33E-05,0,0,0,0.000283317,6.02E-05,0.000131375,0,0,0,0,0.00066861,0,0,0,7.16E-05,0,0,0,0,0,0,0.000144167,0,0,0,0.00013536,0.000388005,0,0.000115192,0,0.00011748,0.000282879,0,0.000626541,3.73E-05,0,0.000406568,0.000605528,0,0,0,0,2.45E-05,0,0.000131344,2.33E-05,0,0,7.66E-05,0,0.000747687,0,0.000227995,0,0,0.000105587,0.00011803,0,0,0,0,0,0,0,6.54E-05,0.0005256,2.52E-05,3.39E-05,0,0,0,6.56E-05,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Corynebacteriaceae;  g__Corynebacterium,0.001662677,0.00032872,0.015088189,0.001418337,0.000450914,0.000439215,0.000188953,0.000377316,0,4.95E-05,0.001200737,0.004254946,0.001388192,0.000152555,0.0001317,0.000528311,0.001156868,0.000364486,0.000588036,0.000492919,0.001155382,0.011961306,0.00026834,0.00124016,0.001027221,0.000666695,0.000397156,0.001683657,0.000514323,0.000387839,0.000223436,0.001569787,7.68E-05,0.000190313,0.000636241,0.0002472,0.001051808,0.001503484,0.002071907,0.000175919,0.000475472,0.000357672,0.001762497,0.009276177,0.000970928,0.000423327,0.002753576,0.002008155,0,0.003344846,0.000948215,0.003253761,0.000551589,0.001663523,0.00502304,0.000629883,0.002056987,0.000799237,0.003041944,0.001337285,0.001852113,0.008864614,0.004823195,0.002684856,0.005214857,0.000661994,0.000794691,0.001932515,0.002141047,0.002991436,0.0037789,0.001865517,0.008500271,0.00240786,0.001438956,0.003661291,0.005364837,0.001801902,0.003976201,0.002479359,0.003725426,0.00070499,0.001278758,0.001598865,0.002928323,0.005160295,0.005679745,0.003469354,0.000601089,0.00283338,0.009264063,0.00391875,0.000482183,0.001951876,0.002003283,0.003022459,0.006299003,0.003066199,0.000253807,0.000388341,0.002057465,0.034133363,0.004541355,0.000131648,0.003003459,0.000678771,0.00219231,0.002172418,0.00292728,0.005685737,0.002126853,0.001334376,0.000886971,0.003910431,0.012255738,0.002305384,0.00269575,0.002703,0.000818993,0.001497321,0.006005913,0.005925282,0.0054967,0.002057095,0.001483653,0.005043721,0.002217927,0.000755985,0.002539896,0.000252297,0.009357636,0.001662257,0.005272199,0.001921214,0.0004709,0.00648406,0.000405057,0.000700425,0.00124175,0.005150351,0.001877141,0.009851969,0.000158119,0,0.001174633,0.000620089,0.013715711,0.001139601,0.005971152,0.000578587
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Corynebacteriaceae;  g__Lawsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84E-05,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52E-05,0,0.000147432,6.91E-05,0,0,3.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Mycobacteriaceae;  g__Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Nocardiaceae;  g__Gordonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41E-05,0,0,0,0,0,0,5.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Nocardiaceae;  g__Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0.056346394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22E-05,0,0,0,0,0,0,0,0,0,0,5.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales;  f__Cellulomonadaceae;  g__Tropheryma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales;  f__Demequinaceae;  g__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales;  f__Dermabacteraceae;  g__Brachybacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82E-05,0,0,0,0,0,0,0,0,0,7.05E-05,0,0,0,0,0,0,0,0,0,0,0,5.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
