taxonomy,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100,Sample_101,Sample_102,Sample_103,Sample_104,Sample_105,Sample_106,Sample_107,Sample_108,Sample_109,Sample_110,Sample_111,Sample_112,Sample_113,Sample_114,Sample_115,Sample_116,Sample_117,Sample_118,Sample_119,Sample_120,Sample_121,Sample_122,Sample_123,Sample_124,Sample_125,Sample_126,Sample_127,Sample_128,Sample_129,Sample_130,Sample_131,Sample_132,Sample_133,Sample_134,Sample_135,Sample_136,Sample_137,Sample_138,Sample_139,Sample_140,Sample_141,Sample_142,Sample_143,Sample_144,Sample_145,Sample_146,Sample_147,Sample_148,Sample_149,Sample_150
d__Bacteria; p__Elusimicrobiota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217874,0,0,4.89E-05,0,0,0,0,0,0,0,0,0,0,0,0.000107878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000552384,0,0,0,0,0,3.22E-05,0,7.87E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000874627,0.000671805,0,0,0,0,0.000164023,0,0.000111943,0,0,0,0,0,0,0,0,0.000186986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000350144,0,0,0,0,0.000245796,0.000105124,0.000382752,0,0.000722801,0.000155996,0,0,0,2.30E-05,0,0,0.000103243,0,0,0,0,2.91E-05,0,0,0,0
d__Bacteria; p__Firmicutes,0.432746722,0.337788055,0.612795703,0.330602793,0.608398562,0.228139058,0.360806358,0.518343835,0.365677997,0.259228531,0.209451346,0.604796308,0.541557137,0.377212052,0.281838535,0.299816645,0.366969567,0.338007333,0.462018211,0.331791382,0.311001614,0.50945575,0.27923874,0.458454653,0.265952503,0.181792765,0.268439368,0.386503067,0.251392026,0.354183276,0.154841462,0.390854283,0.228196167,0.281211343,0.597822097,0.188218426,0.394670838,0.484528333,0.666154784,0.205875701,0.089339586,0.510040366,0.144348486,0.587479503,0.18045868,0.251354646,0.209929311,0.16847043,0.267240136,0.380833052,0.304516031,0.381656519,0.205170368,0.368332809,0.343030014,0.206211851,0.354434694,0.266970892,0.257785231,0.462383677,0.193594506,0.404040795,0.362911005,0.290315168,0.254607735,0.204992212,0.185925385,0.190348212,0.206309534,0.241635985,0.451434692,0.125601111,0.315467515,0.256922599,0.391204247,0.25980241,0.381227704,0.258780806,0.355454821,0.226728931,0.23990053,0.218593255,0.235234873,0.315380539,0.272799876,0.259017658,0.231390453,0.323514835,0.274361785,0.14076167,0.292744386,0.29109942,0.178345336,0.290042154,0.276362555,0.281074652,0.38880818,0.19943529,0.185933743,0.140424068,0.411637309,0.454664376,0.399448247,0.354561611,0.269458209,0.263702698,0.50828599,0.276862546,0.454539852,0.365378521,0.321574684,0.366859526,0.518877982,0.378793118,0.30625513,0.5168264,0.175703788,0.288988638,0.317999448,0.364019649,0.426916422,0.292896574,0.31904348,0.344071079,0.444037345,0.35834495,0.449882999,0.42799544,0.22365654,0.123331161,0.439122573,0.249407391,0.288431776,0.285809291,0.32465159,0.435138618,0.326654609,0.10507521,0.169659898,0.407494649,0.183790886,0.235859823,0.264995878,0.245667806,0.274610569,0.191752817,0.302673767,0.174586895,0.199283979,0.477420661
d__Bacteria; p__Fusobacteriota,0.035026392,0.030253568,0.004064616,0.05252189,0.003965731,0.00952964,0.106546051,0.01921795,0.00915144,0.073642499,0.011412947,0.001402088,0.003854447,0.019336384,0.027020501,0.00313879,0.0136585,0.021676208,0.004080614,0.018238004,0.023566392,0.003769227,0.025554225,0.046883425,0.015457236,0.017592155,0.015091913,0.010424835,0.034571435,0.029411131,0.002437489,0.002730065,0.001804985,0.00768389,0.012651413,0.000791041,0.010383236,0.082955769,0.011529555,0.012892363,0.001803515,0.003653365,0.070987947,0.031096275,0.067652475,0.023960309,0.017905091,0.02418984,0.051016387,0.060490505,0.025677658,0.027463677,0.180942073,0.142263963,0.042093902,0.131660643,0.088973819,0.011498698,0.082132481,0.018032674,0.068723125,0.092271255,0.012705675,0.145163631,0.056068236,0.105093458,0.237945403,0.02548223,0.129214367,0.243056667,0.148845006,0.036253213,0.048544102,0.066973475,0.270395873,0.026434918,0.075561733,0.026737449,0.040025792,0.018414655,0.089166237,0.073943092,0.17787183,0.04842404,0.03497349,0.074772844,0.133178192,0.04400346,0.09764161,0.078212424,0.101015341,0.022970114,0.049011526,0.020076435,0.03954868,0.047547751,0.105807725,0.062239428,0.066777986,0.08635592,0.112176942,0.056149881,0.051493448,0.147396656,0.079831245,0.115430302,0.037693595,0.038789722,0.083709942,0.055170292,0.033149096,0.058879333,0.04658303,0.045863176,0.076503841,0.117009091,0.043550511,0.055601081,0.032198399,0.077900074,0.092866621,0.080080189,0.063317752,0.036480616,0.065850658,0.091762768,0.170831214,0.042395152,0.070088396,0.079442003,0.070848786,0.074526158,0.07517985,0.066864809,0.030754224,0.061418457,0.08729441,0.163646802,0.047140525,0.02892983,0.081636867,0.114581585,0.014264578,0.145202169,0.156439793,0.078324985,0.055537847,0.10024346,0.074975443,0.01488896
d__Bacteria; p__Gemmatimonadota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96E-05,0,0,0,0,0,0
d__Bacteria; p__Myxococcota,0,0,3.13E-05,7.24E-05,0,0,0,0,0,0,0,0,0,0,0,6.22E-05,0,0,0,0,0,0,8.26E-05,0.00016176,0,0,0,0,0,0,0,4.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria; p__Patescibacteria,0.009645529,0.006279684,0.002800301,0.026326073,0.003711369,0.001677004,0.012104822,0.006338905,0.000697643,0.003838772,0.001486061,0.000584203,0.002658239,0.003928299,0.002041354,0.002330785,0.005112608,0.003409018,0.001924482,0.003109182,0.001529182,0.008083141,0.001671965,0.020246954,0.001589747,0.018516925,0.004066117,0.006065778,0.003309555,0.010493202,0.00692653,0.002070299,0.001132916,0.003711105,0.002960969,0.003460806,0.002643005,0.011398037,0.001779403,0.002915232,0.002278987,0.0012774,0.00709066,0.012871867,0.016840578,0.003894609,0.004096115,0.00133366,0.003181316,0.00248412,0.003110145,0.007409555,0.020908353,0.013203395,0.007762879,0.006523793,0.005817987,0.022920051,0.015560712,0.001916316,0.02079565,0.00801392,0.003431359,0.006325134,0.003237983,0.046285047,0.021746601,0.006966042,0.014996067,0.010274932,0.004135961,0.016333637,0.015745183,0.002262224,0.004839157,0.003004646,0.005828121,0.006542289,0.005734718,0.003502395,0.021207714,0.021380857,0.015175348,0.005110977,0.011269605,0.006874679,0.02019465,0.009057249,0.014408458,0.008078316,0.003650041,0.006901882,0.004044112,0.019420342,0.018766236,0.005597145,0.003803799,0.005261068,0.002978894,0.012881822,0.023191597,0.002738207,0.016234283,0.011338204,0.006673055,0.016407994,0.003241319,0.005551734,0.007549302,0.012778927,0.008236473,0.015355747,0.009313195,0.034510579,0.014302972,0.007887602,0.003852829,0.005406,0.005714549,0.005030472,0.005462742,0.005085867,0.007740011,0.0132617,0.006423131,0.005550627,0.008749618,0.009563809,0.008375286,0.018333579,0.005358533,0.005094965,0.005722886,0.004532094,0.002354498,0.012289233,0.009109064,0.020186014,0.005530388,0.001000159,0.002355812,0.017412977,0.003320496,0.000117883,0.004244697,0.004737867,0.007434421,0.007987568,0.003063124,0.005216922
d__Bacteria; p__Planctomycetota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria; p__Proteobacteria,0.099169663,0.19108829,0.230606871,0.320023157,0.204818999,0.42724998,0.249217615,0.121709492,0.401534815,0.346430562,0.393901207,0.176127512,0.269117169,0.145919146,0.45256596,0.276788489,0.323325807,0.318839648,0.273882286,0.324245929,0.34977487,0.074491263,0.354848698,0.011862396,0.49812899,0.428470042,0.422592481,0.25377093,0.479863145,0.278856306,0.582356645,0.50861108,0.512231653,0.53045009,0.12646519,0.650779917,0.297526902,0.137711047,0.002364412,0.531753412,0.813500131,0.143247662,0.546590924,0.087655189,0.511333073,0.46179897,0.549043783,0.562436766,0.436887885,0.252083719,0.437025893,0.393463484,0.217627958,0.147778476,0.36358919,0.421721981,0.400467386,0.059762291,0.299397461,0.156407252,0.336098866,0.279375514,0.270898217,0.207084633,0.445870293,0.368419003,0.263848021,0.418609668,0.380931574,0.195723947,0.034882914,0.479852417,0.215198357,0.384325605,0.070338315,0.295927809,0.2888858,0.361281291,0.333844606,0.329742676,0.277680289,0.342636895,0.27646067,0.406237369,0.129966502,0.136182068,0.368936921,0.339539946,0.323032317,0.540323929,0.311346624,0.283180561,0.4124372,0.228369446,0.097811898,0.238158539,0.176294456,0.526812697,0.364987978,0.479212667,0.129954158,0.16829444,0.323083453,0.089751185,0.393885565,0.391533632,0.360835435,0.530311259,0.192594495,0.283802174,0.467528245,0.12218921,0.064356562,0.202445048,0.348435526,0.065174209,0.611615111,0.351231027,0.495260882,0.250827467,0.172487643,0.304480501,0.372166498,0.329649528,0.351788525,0.301558738,0.148163598,0.26850663,0.487232241,0.577854635,0.207293413,0.377214293,0.381647647,0.483062119,0.469139263,0.082006733,0.352521713,0.418498105,0.60069676,0.392314667,0.538720728,0.398551576,0.558374087,0.486561358,0.305845135,0.526164847,0.398093113,0.52009324,0.567931551,0.281376264
d__Bacteria; p__Spirochaetota,0.000761226,5.67E-05,0,5.79E-05,0.001052133,0.000532382,7.09E-05,0.000666591,0.002636682,0.000148598,0.00039232,0.000340785,0.000472576,9.53E-05,0.0001756,0.004210952,0.000317206,4.29E-05,0.006842602,0.002066468,0.000424773,0.003485991,0.000206415,0.010891837,0.004940446,0.000838746,0.000321507,0.001568338,0.002034929,0.000560212,0.000528123,0.000887271,0.000614463,7.14E-05,0.000807537,0.002150644,0.000755144,0.00646092,0.001633151,0.001030384,0.000655824,0.00025548,0.005423067,0.00624268,0.02798951,0.001422379,0.002945367,0.009856823,0.004719112,0.01856553,0.005613432,0.000257724,0.010761193,0.002095777,0.008084603,0.016586931,0.002616877,0.020328976,0.00109198,6.89E-05,0.029092248,0.003518778,0.006807596,0.000507946,0.002326235,0.001323988,0.002598853,0.007757024,0.017582802,0.008904274,0.012883965,0.006363486,0.025500814,0.012524758,0.008548466,0.018535285,0.013009034,0.001607851,0.009261521,0.000794358,0.008436166,0.002299887,0.018196838,0.013320878,0.0111365,0.11197497,0.009801505,0.033459344,0.021771798,0.004035178,0.040817461,0.002237349,0.003188627,0.008119146,0.007883887,0.007598125,0.007042019,0.002867668,0.001375902,0.001253786,0.006722856,0.000432349,0.002047854,0.021820695,0.004698018,0.002715086,0.001508687,0.003294833,0.004036565,0.013711015,0.00055542,0.07226479,0.009705509,0.002049889,0.026512602,0.005016747,0.001501742,0.003216693,0.004463053,0.005555847,0.043756256,0.023236982,0.015656198,0.025079056,0.007843457,0.00865543,0.002340014,0.004175916,0.017915828,0.005287724,0.017830982,0.009275197,0.025714723,0.002832559,0.008621946,0.029122851,0.011388685,0.004225514,0.001080783,0.002084443,0.009338777,0.007367997,0.004269209,0.000127706,0.018019942,0.008099912,0.014962594,0.007883968,0.000878871,3.86E-05
d__Bacteria; p__Synergistota,0,0,0,5.79E-05,0.000150305,0.000146405,0,7.55E-05,0,0,0,1.95E-05,0.000383968,0.000114416,0,0.001025545,0.000261228,0,0.001086976,0.000625628,0.000101945,0.001372609,0,0.006039038,0.000342407,0,9.46E-05,0.000276766,0.000872113,0.000258559,0.000121874,2.28E-05,0.00019202,0,0.000269179,0.000395521,0.000242725,0.000162539,0.000487508,0.000351838,0.000295121,0.000153288,0.000840575,0.002717264,0.004452877,0.000965186,0.000178092,0.000843119,0.00015378,0.005218831,0.000581572,6.44E-05,0.002331245,0.000144085,0.000861389,0.001664692,0.000328631,5.16E-05,0.000272995,0,0.003801705,0.000338344,0.001626106,3.63E-05,0.000664639,7.01E-05,0.000139608,0.001599942,0.005890064,0.001090523,0.002529185,0.001388774,0.003117121,0.000611674,0.002483532,0,0.001148946,0.000651457,0.001348196,0.000276822,0.001604654,0.000600975,0.002772528,0.001500058,0.000354948,0.007080405,0.006439017,0.003634561,0.0042695,0.000453659,0.006855407,0.000501709,0.0005444,0.001164564,0.002197149,0.002238858,0.002351036,0.000606622,6.68E-05,9.99E-05,0.00100166,2.22E-05,0.000339541,0.004706424,0.000899869,0.000234959,0.000153226,0.000253449,0.00070871,0.005173089,0,0.014125619,0.001560728,0.000148185,0.005062754,0.00079746,0.000393899,0.000379154,0.000496917,0.000906273,0.007969086,0.005550014,0.001585586,0.002122747,0.002252619,0.00157141,9.16E-05,0.000695986,0.004515371,0.00044152,0.001333034,0.001573734,0.004881035,0.00129723,0.004238096,0.004627513,0.001262269,0.000505224,8.05E-05,0.000345849,0.002825097,0.000780437,0.000711535,0,0.00309676,0.000484444,0.002278139,0.000973841,0.000129246,0
d__Bacteria; p__unclassified_Bacteria,0.003235209,0.000374061,0.000334364,0.001013098,0.000543409,0.001118003,0.001594294,0.000377316,0.001651773,0.005498112,0.001034298,0.000272628,0.000502112,0.000762777,0.001470653,0.000699236,0.00110089,0.001393624,0.000837506,0.001137505,0.000509727,0.001764783,0.000577963,0.00088968,0.000171204,0.000709708,0.001191467,0.000945616,0.001610054,0.001055784,0.002274989,0.004390854,0.001132916,0.000618517,0.001590603,0.000791041,0.001321503,0.001158089,0.000926264,0.002412606,0.001737933,0.000715344,0.000515191,0.000339658,0.000814687,0.000457193,0.000534276,0.001103719,0.000807343,0.001972043,0.000556286,0.000193293,0.000260184,0.001060987,0.000705716,0.000224958,0.000194744,0.001160183,0.000506991,0.000179224,0.000769006,0.000270675,0.000330733,0.000229785,5.11E-05,4.67E-05,0.000483258,0.00080896,0.000769029,0.000370178,0.000714123,0.000352375,0.000425545,0.000203891,0.000341086,0.001024763,0.000176048,0.000596014,0.000351703,0.000469393,0.000337822,0.000335159,0.000633721,0.000781468,0.000399317,0.000291445,0.001291748,0.00045675,9.72E-05,7.16E-05,0.000444675,0.000257634,0.000419965,0.000508472,0.000633296,0.000671657,0.000576669,0.000750006,0.000347315,0.000432723,0.000261695,0.00032149,0.00032893,0.000822801,0,0.000169693,0.000341812,0.000301725,0.001088743,0.000354193,0.000528326,0.001866041,0.000443485,0,0.000295097,0.000681466,0.000393899,0.000574846,0.000432502,0.000696123,0.003887548,0.000454272,0.001315449,0.00087536,0.00021712,0.000988468,0.000244175,0.00100798,0.001156154,0.000409983,0.000871092,0.000531135,0.000867362,4.93E-05,0.000369992,0.000637322,3.77E-05,0.000447813,0.000218456,0.000542142,0.000919799,0.001334296,0.000395297,0.000206295,0.000413791,0.000436,0.000468753,0.00017612,0.000917645,0.000289293
